"Notice ID","Title","Description","Current Response Date","Last Modified Date","Last Published Date","Contract Opportunity Type","POC Information","Active/Inactive","Awardee","Contract Award Number","Contract Award Date","NAICS","PSC","Modification Number","Set Aside"
"140FS125Q0150","AK-FWS KENAI NAT-SNOWBLOWER ATTACHMENT","AK-FWS KENAI NAT-SNOWBLOWER ATTACHMENT","Sep 19, 2025 05:00 PM PDT","Sep 15, 2025","Sep 15, 2025","Combined Synopsis/Solicitation","Devivo, Chelsea","Active","N/A","N/A","N/A","Farm Machinery and Equipment Manufacturing","TRUCK AND TRACTOR ATTACHMENTS","N/A","Total Small Business Set-Aside (FAR 19.5)"
"1232SA25Q0756","Lab Scale Twin Screw Extruder","** Amendment 0001 - The purpose of the modification is to dissolve the small business set-aside, update the terms and conditions, and extend the response date. All other aspects remain the same. **Q and A 09/08/25 has been posted i. This is a combined synopsis/solicitation for commercial items prepared in accordance with the procedures contained in FAR Part 12.6, Acquisition of Commercial Items, and FAR Part 13, Simplified Acquisition Procedures, as supplemented with additional information included in this notice. This announcement constitutes the only solicitation; quotes are being requested and a written solicitation will not be issued. ii. The solicitation number (#) is 1232SA25Q0756 and is issued as a Request for Quotation (RFQ). iii. The solicitation document and incorporated provisions and clauses are those in effect through Federal Acquisition Circular (FAC) Number 2025-05 dated 08/07/2025. iv. This solicitation is issued as a 100% total small business set aside. The associated NAICS code is 334516, the small business size standard is 1,000 Employees. v. List CLINS, item descriptions, quantities and units of measure: 0001 - Lab scale twin screw extruder. Qty. 1 vi. Description/Statement of Work/Specification: See attached Specifications. vii. Date(s) and place(s) of delivery and acceptance: Period of Performance is 90 days after award USDA-ARS WRRC 800 Buchanan Street Albany, CA 94710 This requirement shall be FOB Destination. viii. FAR Provision 52.212-1, Instructions to Offerors-Commercial, is incorporated by reference and applies to this acquisition. Please see the attached RFQ terms and conditions for the submission requirements and its addendum. ix. Evaluation: For the evaluation criteria, please see the attached RFQ terms and conditions. x. Quoters are required to complete in full FAR Provision 52.212-3, Offeror Representations and Certifications-Commercial Items (DEVIATION), with their quote online at SAM: www.sam.gov. An quoter must state in their quote if they completed FAR 52.212-3 online and that is it up-to-date and valid. See the attached RFQ terms and conditions for more requirements. System updates may lag policy updates. The System for Award Management (SAM) may continue to require entities to complete representations based on provisions that are not included in agency solicitations, including 52.223-22, Public Disclosure of Greenhouse Gas Emissions and Reduction Goals—Representation, and paragraph (t) of 52.212-3, Offeror Representations and Certifications—Commercial Products and Commercial Services. Agencies will not consider or use these representations. Entities are not required to, nor are they able to, update their entity registration to remove these representations in SAM xi. FAR Clause 52.212-4, Contract Terms and Conditions-Commercial Items, applies to this acquisition. Please see the attached RFQ terms and conditions for its Addendum. xii. FAR Clause 52.212-5, Contract Terms and Conditions Required to Implement Statutes or Executive Orders-Commercial Items (DEVIATION), is incorporated and applies to this acquisition. Please see the attached RFQ terms and conditions that are applicable to the acquisition. xiii. There are no additional contract requirement(s) or terms and conditions (such as contract financing arrangements or warranty requirements) determined by the contracting officer to be necessary for this acquisition and consistent with customary commercial practices. xiv. The Defense Priorities and Allocations System (DPAS) and assigned ratings are not applicable to this solicitation. xv. Date, time and place quotes are due. Quotes are due by the date/time/time zone listed in the “Date Offers Due” field. Submit quotes to the following e-mail address(es), by the quote due date and time: Laura.nessa@usda.gov Late quotes after the established deadline may be considered only if it is in the government’s best interest and if it will not unduly delay award. xvi. Any and all questions regarding this solicitation shall be submitted in writing to laura.nessa@usda.gov no later than 72-hours prior to the close date/time/time zone listed in the “Date Offers Due” field. Answers will be posted at least 24-hours prior to the “Date Offers Due.”","Sep 19, 2025 02:00 PM EDT","Sep 15, 2025","Sep 15, 2025","Combined Synopsis/Solicitation","Laura Nessa","Active","N/A","N/A","N/A","Analytical Laboratory Instrument Manufacturing","LABORATORY EQUIPMENT AND SUPPLIES","N/A","Total Small Business Set-Aside (FAR 19.5)"
"SPE4A625U1194","53--INS ERT,SCREW THREAD","Proposed procurement for NSN 5325011552645 INS ERT,SCREW THREAD: Line 0001 Qty 5431 UI EA Deliver To: By: 0251 DAYS ADO This Solicitation may result in an Automated IDC (Indefinite Delivery Contract). The term of the contract/order will be one year or until the aggregate total of orders placed against the contract/order reach 250000.00. The estimated number of orders per year is 2. The Guaranteed Minimum quantity will be 543. Items will be shipped to various CONUS and OCONUS (via consolidation and containerization point) DLA Depots. Approved source is 56878 79698-624. The solicitation is an RFQ and will be available at the link provided in this notice. Hard copies of this solicitation are not available. Specifications, plans, or drawings are not available. All responsible sources may submit a quote which, if timely received, shall be considered. Quotes must be submitted electronically.","Sep 30, 2025","Sep 15, 2025","Sep 15, 2025","Combined Synopsis/Solicitation","Questions regarding this solicitation should be emailed to the buyer listed in block 5 of the solicitation document which can be found under the Additional Information link. If the Additional Information link does not work, please go to https://www.dibbs.bsm.dla.mil/Solicitations/ and type the solicitation number in the Global Search box.","Active","N/A","N/A","N/A","Hardware Manufacturing","HARDWARE AND ABRASIVES","N/A","Total Small Business Set-Aside (FAR 19.5)"
"SPE4A625T42CC","15--BRACKET,STRUCTURAL","Proposed procurement for NSN 1560017278737 BRACKET,STRUCTURAL: Line 0001 Qty 27 UI EA Deliver To: W1A8 DLA DISTRIBUTION By: 0441 DAYS ADO Line 0002 Qty 1 UI EA Deliver To: W1A8 DLA DISTRIBUTION By: 0270 DAYS ADO All responsible sources may submit a quote which, if timely received, shall be considered. Quotes must be submitted electronically.","Sep 23, 2025","Sep 15, 2025","Sep 15, 2025","Combined Synopsis/Solicitation","Questions regarding this solicitation should be emailed to the buyer listed in block 5 of the solicitation document which can be found under the Additional Information link. If the Additional Information link does not work, please go to https://www.dibbs.bsm.dla.mil/Solicitations/ and type the solicitation number in the Global Search box.","Active","N/A","N/A","N/A","Other Aircraft Parts and Auxiliary Equipment Manufacturing","AIRCRAFT/AIRFRAME STRUCTURE COMPTS","N/A","Total Small Business Set-Aside (FAR 19.5)"
"47QSSC-25-Q-1222","RFQ for NSN 5640-00-267-1590;INSULATION BLOCK, THERMAL","Supply Chain Management (SCM) General Products Branch is issuing this RFQ for 39 EA of NSN 5640-00-267-1590 Insulation Block, Thermal. See attached RFQ documents for Item Purchase Description, terms and conditions. RFQ documents must be completed, signed and returned no later than date and time of closing shown in this posting. Failure to do so will result in your offer not being considered for award. For questions regarding this requirement contact Topsy Mathis at topsy.mathis@gsa.gov","Sep 22, 2025 05:00 PM EDT","Sep 15, 2025","Sep 15, 2025","Combined Synopsis/Solicitation","Topsy Mathis","Active","N/A","N/A","N/A","Other Chemical and Allied Products Merchant Wholesalers ","WALLBOARD BLDG & THERMAL INSULATION","N/A","Total Small Business Set-Aside (FAR 19.5)"
"FA441725Q0317","Resiliency Events","The Contractor shall provide all management, facilities/lodging, media, meals, and childcare to conduct reintegration weekends for assigned units returning from deployments. Anticipated service locations will be in the vicinity of Fort Walton Beach, Florida and Taos, New Mexico, IAW the Performance Work Statement. Please ensure all quotes are valid until the end of FY26. QUOTES ARE DUE 23 SEP 25 @ 0700","Sep 23, 2025 07:00 AM CDT","Sep 15, 2025","Sep 15, 2025","Combined Synopsis/Solicitation","AB Elisabeth Pesiri | Lorenzo Small","Active","N/A","N/A","N/A","Other Individual and Family Services","SOCIAL- OTHER","N/A","Total Small Business Set-Aside (FAR 19.5)"
"68HE0925R0017","Former McClellan AFB Site Oversight","ESO. Federal Facilities NPL Former McClellan Air Force Base Superfund Multi-Site Oversight Support. This is an Exception to Fair Opportunity request for proposal for a logical follow-on Task Order under contract 68HE0118D0010. The Contractor shall provide ongoing administrative and technical oversight support to the US EPA per the Solicitation.","Sep 23, 2025 10:00 AM PDT","Sep 15, 2025","Sep 15, 2025","Solicitation","Hill, Wanda","Active","N/A","N/A","N/A","Remediation Services","OTHER ENVIRONMENTAL SERVICES","N/A","Total Small Business Set-Aside (FAR 19.5)"
"FA330025Q0730","CLDS Surface Tablets Surface Tablet (COMBINED SYNOPSIS/SOLICITATION)","This is a combined synopsis/solicitation for commercial items prepared in accordance with the format in FAR Subpart 12.6, as supplemented with additional information included in this notice. This announcement constitutes the only solicitation; quotes are being requested, and a written solicitation will not be issued.","Sep 18, 2025 12:00 PM CDT","Sep 15, 2025","Sep 15, 2025","Combined Synopsis/Solicitation","SSgt Bryant Nguyen | SSgt Khadijah Jones","Active","N/A","N/A","N/A","Electronic Computer Manufacturing","IT AND TELECOM - MOBILE DEVICE PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE)","N/A","Total Small Business Set-Aside (FAR 19.5)"
"1333MK25Q0160","7A--Purchase of HYSWEEP software for MO-E Science team","HYPACK HYSWEEP is a critical software tool NOAA uses to plan, collect, and quality-check seafloor mapping data during hydrographic and scientific missions. These licenses will be utilized by the MO-Science team for shoreside technical support and training.","Sep 17, 2025 04:00 PM PDT","Sep 15, 2025","Sep 15, 2025","Combined Synopsis/Solicitation","BRIGHT, ISAAC","Active","N/A","N/A","N/A","Software Publishers","IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE)","N/A","Total Small Business Set-Aside (FAR 19.5)"
"SPE7LX25U023B","53--SEAL,PLAIN","Proposed procurement for NSN 5330015809288 SEAL,PLAIN: Line 0001 Qty 87 UI FT Deliver To: By: 0099 DAYS ADO This Solicitation may result in an Automated IDC (Indefinite Delivery Contract). The term of the contract/order will be one year or until the aggregate total of orders placed against the contract/order reach 250000.00. The estimated number of orders per year is 4. The Guaranteed Minimum quantity will be 13. Items will be shipped to various CONUS and OCONUS (via consolidation and containerization point) DLA Depots. Approved source is 77824 8626-0602-3. The solicitation is an RFQ and will be available at the link provided in this notice. Hard copies of this solicitation are not available. Specifications, plans, or drawings are not available. All responsible sources may submit a quote which, if timely received, shall be considered. Quotes must be submitted electronically.","Sep 30, 2025","Sep 15, 2025","Sep 15, 2025","Combined Synopsis/Solicitation","Questions regarding this solicitation should be emailed to the buyer listed in block 5 of the solicitation document which can be found under the Additional Information link. If the Additional Information link does not work, please go to https://www.dibbs.bsm.dla.mil/Solicitations/ and type the solicitation number in the Global Search box.","Active","N/A","N/A","N/A","Bolt, Nut, Screw, Rivet, and Washer Manufacturing ","HARDWARE AND ABRASIVES","N/A","Total Small Business Set-Aside (FAR 19.5)"
"N6426725Q4240","FLUKE MICRO BATH THERMOMETOR CALIBRATOR","This is a combined synopsis/solicitation for commercial items prepared in accordance with the format in Subpart 12.6, as supplemented with additional information included in this notice. This announcement constitutes the only solicitation; proposals are being requested and a written solicitation will not be issued. The solicitation document and incorporated provisions and clauses are those in effect through Federal Acquisition Circular 2025-04 The provisions at 52.212-1, 52.212-3 and the clauses at 52.212-4, 52.212-5 apply to this acquisition; no addenda are attached. This is an all-or-none requirement and partial quotes will be deemed unresponsive and will not be evaluated. The Government will award on a single purchase order to the responsible Offeror whose offer conforms to the requirements as stated in the Solicitation and is most advantageous to the Government based on the criteria listed in section L and section M of the Solicitation. Offerors must be registered in SAM and all responsible sources may submit a quotation which, if timely received, will be considered by the Agency. Quotes are due no later than the response date in the posting. Responses/offers shall be submitted electronically, PDF or MS Word Format to the email address in the posting. Any amendment(s) issued to this Request for Quote (RFQ) will be published on this website. Therefore, it is the Offerors responsibility to visit this website frequently for updates on this procurement. No telephone requests","Sep 19, 2025 12:00 AM PDT","Sep 15, 2025","Sep 15, 2025","Combined Synopsis/Solicitation","ELIZABETH GRONCKI","Active","N/A","N/A","N/A","Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals","LABORATORY EQUIPMENT AND SUPPLIES","N/A","Total Small Business Set-Aside (FAR 19.5)"
"1232SA25Q0911","Comprehensive Environmental Response","PSC: B510 SPECIAL STUDIES/ANALYSIS- ENVIRONMENTAL ASSESSMENT NAICS: 562910 Remediation Services-Environmental Remediation Services 1000 This is a combined synopsis/solicitation for commercial items/services prepared in accordance with the format in subpart 12.6, utilizing FAR part 13 procedures, as supplemented with additional information included in this notice. This announcement constitutes the only solicitation; proposals are being requested and a written solicitation will not be issued. (ii) The solicitation number is 1232SA25Q0911 and this combined synopsis/solicitation is issued as a request for quotation (RFQ). (iii) A statement that the solicitation document and incorporated provisions and clauses are those in effect through Federal Acquisition Circular FAC 2025-05, August 07, 2025. (iv) This is a total 100% small business set-aside and the associated NAICS code is 562910 and the small business size standard is $25.0. (v) A list of line item number(s) and items, quantities, and units of measure (including option(s), if applicable). (vi) United States Department of Agriculture (USDA), Agricultural Research Service (ARS) requires a Contractor to provide environmental cleanup. See attached Statement or Work (vii) Place of service/delivery and acceptance: 10300 Baltimore Ave., Beltsville, Maryland 20705. (viii) Provision 52.212-1, Instructions to Offerors-Commercial, applies to this acquisition. (ix) Provision 52.212-2, Evaluation-Commercial Products and Commercial Services is applies to this acquisition. Evaluation will be based on Best Value. Award will be made on the basis of the best value to the government from quotes meeting or exceeding the acceptability standards for cost and non-cost factors. Best Value will be evaluated based on the following factors: Price Technical Capability- Ability to meet or exceed the salient characteristics in the Specifications Past Performance (x) Offers must have a completed copy of the provision at 52.212-3, Offeror Representations and Certifications-Commercial Products and Commercial Services, uploaded on sam.gov by the time quotes are due. (xi) The clause at 52.212-4, Contract Terms and Conditions-Commercial Products and Commercial Services, applies to this acquisition. (xii) The clause at 52.212-5, Contract Terms and Conditions Required To Implement Statutes or Executive Orders-Commercial Items, applies to this acquisition. Additional clauses included as attachment: Contract Terms and Conditions (xiii) In order to be considered for award OFFERORS SHALL SUBMIT ALL OF THE FOLLOWING: Submit Firm Fixed Price quotation (quote on company letterhead) detailing the service, total price and valid for at least 60 days after receipt of quote. Inclusive of all costs. Submit Sam.gov Unique Entity ID (UEI) with quotation. Submit documentation showing technical capability to meet or exceed each of the Performance Elements in the Statement of Work. Submit two to three relevant and recent Past Performance References. A Site Visit will be scheduled for this requirement and is TBD. Registration for site visit: Email elizabeth.wilson2@usda.gov to be added to the site visit list with company name and attendee name. REJECTION OF QUOTATION: Failure to demonstrate compliance or to submit ALL items requested in solicitation will be cause to reject the quote without further discussions. DISCUSSIONS: The Government intends to award without discussions but reserves the right to conduct discussions should it be deemed in the Government's best interest. (xv) Quotes are due on 9/25/2025 at 9:00 AM PST by email to Elizabeth Wilson at Elizabeth.Wilson2@usda.gov. (xvi) Elizabeth Wilson may be reached at Elizabeth.Wilson2@usda.gov for specific questions regarding this combined solicitation. Questions by interested parties regarding the requirement must be submitted by 9/22/2025 by 3:00 PM PST.","Sep 25, 2025 09:00 AM PDT","Sep 15, 2025","Sep 15, 2025","Combined Synopsis/Solicitation","Elizabeth Wilson","Active","N/A","N/A","N/A","Remediation Services","SPECIAL STUDIES/ANALYSIS- ENVIRONMENTAL ASSESSMENTS","N/A","Total Small Business Set-Aside (FAR 19.5)"
"1232SA25Q0824","Particle Imaging Neutron Generator for Auburn, AL","COMBINED SYNOPSIS/SOLICITATION This is a combined synopsis/solicitation for commercial items prepared in accordance with the procedures contained in FAR Part 12.6, Acquisition of Commercial Items, and FAR Part 13, Simplified Acquisition Procedures, as supplemented with additional information included in this notice. This announcement constitutes the only solicitation; quotes are being requested and a written solicitation will not be issued. The solicitation number is 1232SA25Q0824 and is issued as a Request for Quotation (RFQ). The solicitation document and incorporated provisions and clauses are those in effect through Federal Acquisition Circular (FAC) Number 2025-05 dated 08/07/2025. This solicitation is issued as total small business set-aside The associated NAICS code is 334516the small business size standard is 1000. List CLINS, item descriptions, quantities and units of measure: 0001 Particle Imaging Neutron Generator qty 1 each Description/Statement of Work/Specification: See attached specifications Date(s) and place(s) of delivery and acceptance: Delivery within 60 days of award This requirement shall be FOB Destination. FAR Provision 52.212-1, Instructions to Offerors-Commercial, is incorporated by reference and applies to this acquisition. Please see the attached RFQ terms and conditions for the submission requirements and its addendum. Evaluation: For the evaluation criteria, please see the attached RFQ terms and conditions. Quoters are required to complete in full FAR Provision 52.212-3, Offeror Representations and Certifications-Commercial Items (DEVIATION), with their quote online at SAM: www.sam.gov. An quoter must state in their quote if they completed FAR 52.212-3 online and that is it up-to-date and valid. See the attached RFQ terms and conditions for more requirements. System updates may lag policy updates. The System for Award Management (SAM) may continue to require entities to complete representations based on provisions that are not included in agency solicitations, including 52.223-22, Public Disclosure of Greenhouse Gas Emissions and Reduction Goals—Representation, and paragraph (t) of 52.212-3, Offeror Representations and Certifications—Commercial Products and Commercial Services. Agencies will not consider or use these representations. Entities are not required to, nor are they able to, update their entity registration to remove these representations in SAM FAR Clause 52.212-4, Contract Terms and Conditions-Commercial Items, applies to this acquisition. Please see the attached RFQ terms and conditions for its Addendum. FAR Clause 52.212-5, Contract Terms and Conditions Required to Implement Statutes or Executive Orders-Commercial Items (DEVIATION), is incorporated and applies to this acquisition. Please see the attached RFQ terms and conditions that are applicable to the acquisition. There are no additional contract requirement(s) or terms and conditions (such as contract financing arrangements or warranty requirements) determined by the contracting officer to be necessary for this acquisition and consistent with customary commercial practices. The Defense Priorities and Allocations System (DPAS) and assigned ratings are not applicable to this solicitation. Date, time and place quotes are due. Quotes are due by 09/25/2025 at 12:00pm PST to Brian.Fien@usda.gov Submit quotes to the following e-mail address(es), by the quote due date and time: Brian.Fien@usda.gov Late quotes after the established deadline may be considered only if it is in the government’s best interest and if it will not unduly delay award. Any and all questions regarding this solicitation shall be submitted in writing to Brian.Fien@usda.gov no later than 09/20/2025 at 12:00pm PST","Sep 25, 2025 12:00 PM PDT","Sep 15, 2025","Sep 15, 2025","Combined Synopsis/Solicitation","Brian Fien","Active","N/A","N/A","N/A","Analytical Laboratory Instrument Manufacturing","LABORATORY EQUIPMENT AND SUPPLIES","N/A","Total Small Business Set-Aside (FAR 19.5)"
"12444025Q0105","Delivery of Aggregate Material to the Kisatchie National Forest","This is a combined Synopsis/Solicitation. Bids are due back September 24,2025 @ 5PM EST. This will be various locations in the Kisatchie National Forest. Contractor will supply all material, labor and tools, equipment, and vehicle for delivery. Please fill out the Soliciation and sign along with the schedule of items.","Sep 24, 2025 05:00 PM EDT","Sep 15, 2025","Sep 15, 2025","Combined Synopsis/Solicitation","Melody Flores","Active","N/A","N/A","N/A","Crushed and Broken Limestone Mining and Quarrying","MINERAL CONTRUCT MATERIALS BULK","N/A","Total Small Business Set-Aside (FAR 19.5)"
"FA441825Q0068","FY25 Surveillance Camera System Upgrade","Amendment 2 The purpose of this amendment is to: 1. Announce that attending the site visit is no longer required for a priced offer to be eligible for award. All other terms and conditions remain unchanged. Amendment 1 The purpose of this amendment is to: 1. Extend the solicitation due date to Friday, 19 September 2025 at 2:00PM. 2. Revise the RFQ Pricing Sheet (Attch 01) to reflect the extended solicitation close date. 3. Schedule a site visit for Wednesday, 17 September 2025 at 10:00AM. Vendors will meet outside Building 705, 400 North Graves Ave, Joint Base Charleston, SC 29404. All prospective offerors are now REQUIRED to attend the site visit in order to be considered eligible for award. Offerors are required to contact Madison Nerenberg, Contract Specialist, at (843) 963-5158, email address madison.nerenberg@us.af.mil and Taylor McDaniel, Contracting Officer, at (843) 963-4491, email address taylor.mcdaniel.1@us.af.mil by Friday, 12 September 2025 at 12:00PM if they plan to attend. Vendors are limited to no more than two representatives at the site visit. Special arrangements will be required to gain access to the installation. Offerors are cautioned that Joint Base Charleston has visitor control procedures requiring individuals not affiliated with the installation to obtain a visitor pass prior to entrance. SOME DELAY SHOULD BE ANTICIPATED. Offerors should allow sufficient time to obtain a visitor pass (requiring valid driver's license (REAL ID), social security card, vehicle registration, and proof of insurance). All Questions and Answers will be provided at the site visit. ______________________________________________________________________ COMBINED SYNOPSIS/SOLICITATION 437 MXS SURVEILLANCE CAMERA SYSTEM UPGRADE JOINT BASE CHARLESTON (JB CHS), SC FA441825Q0068 (i) This is a combined synopsis/solicitation for commercial items prepared in accordance with the format in Federal Acquisition Regulation (FAR) Subpart 12.6 and FAR Subpart 13 as supplemented with additional information included in this notice. This announcement constitutes the only solicitation, quotes are being requested and a written solicitation will not be issued. (ii) FA441825Q0068 is issued as a request for quotation (RFQ). (iii) This RFQ provisions and clauses are those in effect through Federal Acquisition Circular 2025-04 dated 11 June 2025. (iv) This acquisition is restricted for small business concerns. The associated NAICS code is 238210 with a $19 Millon size standard. This is a Brand Name OR EQUAL requirement. (v) The purpose of this combined synopsis and solicitation is for the purchase and installation of a surveillance camera system upgrade in accordance with the Statement of Work & Floorplan document (Attch 02). (vi) The Government seeks delivery and installation no later than 150 days after award and shall be inclusive of all ordering and delivery of materials, equipment, parts, and final acceptance. The delivery FoB is Joint Base Charleston, South Carolina. (vii) FAR 52.212-1, Instructions to Offerors – Commercial Items applies to this acquisition with the following Addenda; At a minimum, the offeror shall: a. This RFQ has four (4) attachments Attch 01 – RFQ Pricing Sheet Attch 02 – Statement of Work & Floorplan Attch 03 – Provisions and Clauses Attch 04 – Wage Determination, Rev 31 dated Jul 2025 b. Offerors shall utilize Attch 01 - RFQ Pricing Sheet to submit offered pricing and fill out Company name; address; SAM UEI; Cage Code; name, telephone number, email address for your company’s point of contact in response to this RFQ. c. Offerors must submit specification sheets for each camera and the new Network Video Recorder. Camera specification sheets must be detailed sufficiently for the Government to determine a camera equal to the Avigilon (P/N 32C-H5A-4MH) and Avigilon (P/N 9C-H5A-3MH) camera. Recorder specification sheets must be in sufficient detail for the Government to determine capability to perform 24/7 recording for storage up to 14 days. d. Offerors must submit a design layout displaying the intended location of all cables, cameras, and workstation/control center. e. Offeror’s must submit a documentation attesting the compatibility of the offered cameras and recorder with the current surveillance system. f. All companies must be registered in the System for Award Management at https://www.sam.gov/portal/public/SAM/ to be considered for award. All offerors shall include a completed copy of FAR 52.212-3, Offeror Representation and Certifications -- Commercial Item or complete electronic annual representations and certifications at the System for Award Management. g. The Government will not provide contract financing for this acquisition. Invoice instruction shall be provided at time of award. h. A Firm Fixed Priced Purchase Order is anticipated. i. Acknowledgement of any amendments to this RFQ. j. A statement that you agree to all terms of this RFQ. k. Offerors must submit responses to this RFQ electronically by email to madison.nerenberg@us.af.mil and taylor.mcdaniel.1@us.af.mil. (viii) FAR 52.212-2, Evaluation-Commercial Items applies to this acquisition with the following Addenda; a. The Government will award a contract resulting from this solicitation to the responsible offeror whose offer conforming to the solicitation will be most advantageous to the government, price and other factors considered. b. The following factors shall be used to evaluate offers in the following relative order of importance: Price Technical capability Past Performance c. Price – The Government will first rank each offer from lowest to highest priced offer. The Government may determine whether an offer is unacceptable if the prices are significantly unbalanced. d. Technical – Following the price evaluation, the Government will then evaluate offers by technical capability as pass/fail. To receive a pass rating, the Government will evaluate the Offeror’s camera and recorder specification sheets to determine whether the cameras are either the recommended Avigilon or equal and the recorder is capable 24/7 recording with storage up to 14 days. The Government will evaluate the Offeror’s design layout to determine it meets the requirement set forth in the Statement of Work. e. Past Performance - Of the offers, having passed the technical evaluation, the Government will begin evaluating past performance starting with the lowest priced offeror. Evaluation of the offerors past performance is subjective and will result in a rating of Substantial, Satisfactory, Neutral, Limited, or No Confidence. Offerors who do not have recent and relevant past performance relating to this requirement will receive a rating of Neutral Confidence. Substantial Confidence: Based on the offeror’s recent/relevant performance record, the Government has a high expectation the offeror will successfully perform the requirement. Satisfactory Confidence: Based on the offeror’s recent/relevant performance record, the Government has a reasonable expectation the offeror will successfully perform the requirement. Neutral Confidence: No recent/relevant performance record is available or the offeror’s performance record is so sparse, no meaningful confidence assessment rating can be reasonably assigned. The offeror may not be evaluated favorably or unfavorably on the factor of past performance. Limited Confidence: Based on the offeror’s recent/relevant performance record, the Government has a low expectation the offeror will successfully perform the requirement. No Confidence: Based on the offeror’s recent/relevant performance record, the Government has no expectation the offeror will successfully perform the requirement. The Government will evaluate past performance for recency and relevancy. Recency is defined as performance of similar services within the past three (3) years from the issue date of the solicitation. Relevancy is defined as services of the same magnitude such as projects for surveillance camera system installation/integration requirements for systems consisting of multiple cameras requiring 24/7 recording and storage of at least 14 days. f. If the lowest priced offer, having passed the technical evaluation receives a Substantial Performance Confidence Rating, that offer represents the best value for the Government and the evaluation process stops at this point; an award shall be made to that offeror without further consideration of any other offers. In the event the lowest priced offeror, having passed the technical evaluation does not receive a Substantial Performance Confidence Rating, the evaluation process will continue with the next lowest priced offeror until an offeror receives a Substantial Performance Confidence Rating or all offers are evaluated. In the event an offeror other than the lowest priced offeror having passed the technical evaluation received a Substantial Performance Confidence Rating, the Contracting Officer will perform an integrated best value evaluation to determine the eventual awardee. The Government reserves the right to award to a Substantial Performance Confidence Rated offeror, and reserves the right to award to other than the lowest priced offeror. g. The Government intends to award a contract without interchanges with respective offerors. The Government, however, does reserve the right to hold interchanges with one, some, none, or all offerors. (ix) Offers in response to this acquisition are due 19 September 2025, No Later Than 2:00 PM EST. (x) Offerors may contact Madison Nerenberg at 843-963-5158 or Taylor McDaniel at 843-963-4491 for information regarding this solicitation. Note: .zip files are not an acceptable format for the Air Force Network and will not go through our email system. (End of Provision)","Sep 19, 2025 02:00 PM EDT","Sep 15, 2025","Sep 15, 2025","Combined Synopsis/Solicitation","Madison Nerenberg | Taylor K. McDaniel","Active","N/A","N/A","N/A","Electrical Contractors and Other Wiring Installation Contractors","INSTALLATION OF EQUIPMENT- ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS","N/A","Total Small Business Set-Aside (FAR 19.5)"
"140D0425Q0634","Exclusive Use Light Fixed Wing Aircraft Services","NAVSEA Exclusive Use Light Fixed Wing Aircraft Services","Oct 15, 2025 10:00 AM MDT","Sep 15, 2025","Sep 15, 2025","Solicitation","Carter, Austin","Active","N/A","N/A","N/A","Other Nonscheduled Air Transportation","AIR CHARTER FOR THINGS","N/A","Total Small Business Set-Aside (FAR 19.5)"
